,year,month,Psurf,Precip,Wind,station_name,LWdown,Tair
177,2020,10,100.0,100.0,100.0,FI-Ken,100.0,
178,2020,11,100.0,100.0,100.0,FI-Ken,100.0,
179,2020,12,100.0,100.0,100.0,FI-Ken,100.0,
180,2020,1,100.0,100.0,100.0,FR-FBn,,
181,2020,2,100.0,100.0,100.0,FR-FBn,,
182,2020,3,100.0,100.0,100.0,FR-FBn,,
183,2020,4,100.0,100.0,100.0,FR-FBn,,
184,2020,5,100.0,100.0,100.0,FR-FBn,,
185,2020,6,100.0,100.0,100.0,FR-FBn,,
186,2020,7,100.0,100.0,100.0,FR-FBn,,
187,2020,8,100.0,100.0,100.0,FR-FBn,,
188,2020,9,100.0,100.0,100.0,FR-FBn,,
189,2020,10,100.0,100.0,100.0,FR-FBn,,
190,2020,11,100.0,100.0,100.0,FR-FBn,,
191,2020,12,100.0,100.0,100.0,FR-FBn,,
192,2020,1,100.0,100.0,100.0,DE-Tha,,
193,2020,2,100.0,100.0,100.0,DE-Tha,,
194,2020,3,100.0,100.0,100.0,DE-Tha,,
195,2020,4,100.0,100.0,100.0,DE-Tha,,
196,2020,5,100.0,100.0,100.0,DE-Tha,,
197,2020,6,100.0,100.0,100.0,DE-Tha,,
198,2020,7,100.0,100.0,100.0,DE-Tha,,
199,2020,8,100.0,100.0,100.0,DE-Tha,,
200,2020,9,100.0,100.0,100.0,DE-Tha,,
201,2020,10,100.0,100.0,100.0,DE-Tha,,
202,2020,11,100.0,100.0,100.0,DE-Tha,,
203,2020,12,100.0,100.0,100.0,DE-Tha,,
204,2020,1,100.0,100.0,100.0,DE-Obe,,
205,2020,2,100.0,100.0,100.0,DE-Obe,,
206,2020,3,100.0,100.0,100.0,DE-Obe,,
207,2020,4,100.0,100.0,100.0,DE-Obe,,
208,2020,5,100.0,100.0,100.0,DE-Obe,,
209,2020,6,100.0,100.0,100.0,DE-Obe,,
210,2020,7,100.0,100.0,100.0,DE-Obe,,
211,2020,8,100.0,100.0,100.0,DE-Obe,,
212,2020,9,100.0,100.0,100.0,DE-Obe,,
213,2020,10,100.0,100.0,100.0,DE-Obe,,
214,2020,11,100.0,100.0,100.0,DE-Obe,,
215,2020,12,100.0,100.0,100.0,DE-Obe,,
216,2020,1,100.0,100.0,100.0,IT-Lav,,
217,2020,2,100.0,100.0,100.0,IT-Lav,,
218,2020,3,100.0,100.0,100.0,IT-Lav,,
219,2020,4,100.0,100.0,100.0,IT-Lav,,
220,2020,5,100.0,100.0,100.0,IT-Lav,,
221,2020,6,100.0,100.0,100.0,IT-Lav,,
222,2020,7,100.0,100.0,100.0,IT-Lav,,
223,2020,8,100.0,100.0,100.0,IT-Lav,,
224,2020,9,100.0,100.0,100.0,IT-Lav,,
225,2020,10,100.0,100.0,100.0,IT-Lav,,
226,2020,11,100.0,100.0,100.0,IT-Lav,,
227,2020,12,100.0,100.0,100.0,IT-Lav,,
228,2020,1,100.0,100.0,100.0,RU-Fyo,,
229,2020,2,100.0,100.0,100.0,RU-Fyo,,
230,2020,3,100.0,100.0,100.0,RU-Fyo,,
231,2020,4,100.0,100.0,100.0,RU-Fyo,,
232,2020,5,100.0,100.0,100.0,RU-Fyo,,
233,2020,6,100.0,100.0,100.0,RU-Fyo,,
234,2020,7,100.0,100.0,100.0,RU-Fyo,,
235,2020,8,100.0,100.0,100.0,RU-Fyo,,
236,2020,9,100.0,100.0,100.0,RU-Fyo,,
237,2020,10,100.0,100.0,100.0,RU-Fyo,,
238,2020,11,100.0,100.0,100.0,RU-Fyo,,
239,2020,12,100.0,100.0,100.0,RU-Fyo,,
240,2020,1,100.0,100.0,100.0,CH-Dav,,
241,2020,2,100.0,100.0,100.0,CH-Dav,,
242,2020,3,100.0,100.0,100.0,CH-Dav,,
243,2020,4,100.0,100.0,100.0,CH-Dav,,
244,2020,5,100.0,100.0,100.0,CH-Dav,,
245,2020,6,100.0,100.0,100.0,CH-Dav,,
246,2020,7,100.0,100.0,100.0,CH-Dav,,
247,2020,8,100.0,100.0,100.0,CH-Dav,,
248,2020,9,100.0,100.0,100.0,CH-Dav,,
249,2020,10,100.0,100.0,100.0,CH-Dav,,
250,2020,11,100.0,100.0,100.0,CH-Dav,,
251,2020,12,100.0,100.0,100.0,CH-Dav,,
252,2020,1,100.0,100.0,100.0,FR-Tou,,
253,2020,2,100.0,100.0,100.0,FR-Tou,,
254,2020,3,100.0,100.0,100.0,FR-Tou,,
255,2020,4,100.0,100.0,100.0,FR-Tou,,
256,2020,5,100.0,100.0,100.0,FR-Tou,,
257,2020,6,100.0,100.0,100.0,FR-Tou,,
258,2020,7,100.0,100.0,100.0,FR-Tou,,
259,2020,8,100.0,100.0,100.0,FR-Tou,,
260,2020,9,100.0,100.0,100.0,FR-Tou,,
261,2020,10,100.0,100.0,100.0,FR-Tou,,
262,2020,11,100.0,100.0,100.0,FR-Tou,,
263,2020,12,100.0,100.0,100.0,FR-Tou,,
264,2020,1,100.0,100.0,100.0,DE-Gri,,
265,2020,2,100.0,100.0,100.0,DE-Gri,,
266,2020,3,100.0,100.0,100.0,DE-Gri,,
267,2020,4,100.0,100.0,100.0,DE-Gri,,
268,2020,5,100.0,100.0,100.0,DE-Gri,,
269,2020,6,100.0,100.0,100.0,DE-Gri,,
270,2020,7,100.0,100.0,100.0,DE-Gri,,
271,2020,8,100.0,100.0,100.0,DE-Gri,,
272,2020,9,100.0,100.0,100.0,DE-Gri,,
273,2020,10,100.0,100.0,100.0,DE-Gri,,
274,2020,11,100.0,100.0,100.0,DE-Gri,,
275,2020,12,100.0,100.0,100.0,DE-Gri,,
276,2020,1,100.0,100.0,100.0,IT-MBo,,
277,2020,2,100.0,100.0,100.0,IT-MBo,,
278,2020,3,100.0,100.0,100.0,IT-MBo,,
279,2020,4,100.0,100.0,100.0,IT-MBo,,
280,2020,5,100.0,100.0,100.0,IT-MBo,,
281,2020,6,100.0,100.0,100.0,IT-MBo,,
282,2020,7,100.0,100.0,100.0,IT-MBo,51.68010752688173,
283,2020,8,100.0,100.0,100.0,IT-MBo,100.0,
284,2020,9,100.0,100.0,100.0,IT-MBo,100.0,
285,2020,10,100.0,100.0,100.0,IT-MBo,100.0,
286,2020,11,100.0,100.0,100.0,IT-MBo,100.0,
287,2020,12,100.0,100.0,100.0,IT-MBo,100.0,
288,2020,1,100.0,100.0,100.0,IT-Tor,,
289,2020,2,100.0,100.0,100.0,IT-Tor,,
290,2020,3,100.0,100.0,100.0,IT-Tor,,
291,2020,4,100.0,100.0,100.0,IT-Tor,,
292,2020,5,100.0,100.0,100.0,IT-Tor,,
293,2020,6,100.0,100.0,100.0,IT-Tor,,
294,2020,7,100.0,100.0,100.0,IT-Tor,,
295,2020,8,100.0,100.0,100.0,IT-Tor,,
296,2020,9,100.0,100.0,100.0,IT-Tor,,
297,2020,10,100.0,100.0,100.0,IT-Tor,,
298,2020,11,100.0,100.0,100.0,IT-Tor,,
299,2020,12,100.0,100.0,100.0,IT-Tor,,
300,2020,1,100.0,100.0,100.0,CH-Aws,,
301,2020,2,100.0,100.0,100.0,CH-Aws,,
302,2020,3,100.0,100.0,100.0,CH-Aws,,
303,2020,4,100.0,100.0,100.0,CH-Aws,,
304,2020,5,100.0,100.0,100.0,CH-Aws,,
305,2020,6,100.0,100.0,100.0,CH-Aws,,
306,2020,7,100.0,100.0,100.0,CH-Aws,,
307,2020,8,100.0,100.0,100.0,CH-Aws,,
308,2020,9,100.0,100.0,100.0,CH-Aws,,
309,2020,10,100.0,100.0,100.0,CH-Aws,,
310,2020,11,100.0,100.0,100.0,CH-Aws,,
311,2020,12,100.0,100.0,100.0,CH-Aws,,
312,2020,1,100.0,100.0,100.0,CH-Cha,,
313,2020,2,100.0,100.0,100.0,CH-Cha,,
314,2020,3,100.0,100.0,100.0,CH-Cha,,
315,2020,4,100.0,100.0,100.0,CH-Cha,,
316,2020,5,100.0,100.0,100.0,CH-Cha,,
317,2020,6,100.0,100.0,100.0,CH-Cha,,
318,2020,7,100.0,100.0,100.0,CH-Cha,,
319,2020,8,100.0,100.0,100.0,CH-Cha,,
320,2020,9,100.0,100.0,100.0,CH-Cha,,
321,2020,10,100.0,100.0,100.0,CH-Cha,,
322,2020,11,100.0,100.0,100.0,CH-Cha,,
323,2020,12,100.0,100.0,100.0,CH-Cha,,
324,2020,1,100.0,100.0,100.0,CH-Fru,,
325,2020,2,100.0,100.0,100.0,CH-Fru,,
326,2020,3,100.0,100.0,100.0,CH-Fru,,
327,2020,4,100.0,100.0,100.0,CH-Fru,,
328,2020,5,100.0,100.0,100.0,CH-Fru,,
329,2020,6,100.0,100.0,100.0,CH-Fru,,
330,2020,7,100.0,100.0,100.0,CH-Fru,,
331,2020,8,100.0,100.0,100.0,CH-Fru,,
332,2020,9,100.0,100.0,100.0,CH-Fru,,
333,2020,10,100.0,100.0,100.0,CH-Fru,,
334,2020,11,100.0,100.0,100.0,CH-Fru,,
335,2020,12,100.0,100.0,100.0,CH-Fru,,
336,2020,1,100.0,100.0,100.0,IT-Cp2,,
337,2020,2,100.0,100.0,100.0,IT-Cp2,,
338,2020,3,100.0,100.0,100.0,IT-Cp2,,
339,2020,4,100.0,100.0,100.0,IT-Cp2,,
340,2020,5,100.0,100.0,100.0,IT-Cp2,,
341,2020,6,100.0,100.0,100.0,IT-Cp2,,
342,2020,7,100.0,100.0,100.0,IT-Cp2,,
343,2020,8,100.0,100.0,100.0,IT-Cp2,,
344,2020,9,100.0,100.0,100.0,IT-Cp2,,
345,2020,10,100.0,100.0,100.0,IT-Cp2,,
346,2020,11,100.0,100.0,100.0,IT-Cp2,33.40277777777778,17.708333333333336
347,2020,12,100.0,100.0,100.0,IT-Cp2,100.0,100.0
348,2020,1,100.0,100.0,100.0,FI-Sii,,
349,2020,2,100.0,100.0,100.0,FI-Sii,,
350,2020,3,100.0,100.0,100.0,FI-Sii,,
351,2020,4,100.0,100.0,100.0,FI-Sii,,
352,2020,5,100.0,100.0,100.0,FI-Sii,,
353,2020,6,100.0,100.0,100.0,FI-Sii,,
354,2020,7,100.0,100.0,100.0,FI-Sii,,
355,2020,8,100.0,100.0,100.0,FI-Sii,,
356,2020,9,100.0,100.0,100.0,FI-Sii,,
357,2020,10,100.0,100.0,100.0,FI-Sii,,
358,2020,11,100.0,100.0,100.0,FI-Sii,,
359,2020,12,100.0,100.0,100.0,FI-Sii,,
360,2020,1,100.0,100.0,100.0,FR-LGt,,
361,2020,2,100.0,100.0,100.0,FR-LGt,,
362,2020,3,100.0,100.0,100.0,FR-LGt,,
363,2020,4,100.0,100.0,100.0,FR-LGt,,
364,2020,5,100.0,100.0,100.0,FR-LGt,,
365,2020,6,100.0,100.0,100.0,FR-LGt,,
366,2020,7,100.0,100.0,100.0,FR-LGt,,
367,2020,8,100.0,100.0,100.0,FR-LGt,,
368,2020,9,100.0,100.0,100.0,FR-LGt,,
369,2020,10,100.0,100.0,100.0,FR-LGt,,
370,2020,11,100.0,100.0,100.0,FR-LGt,,
371,2020,12,100.0,100.0,100.0,FR-LGt,,
372,2020,1,100.0,100.0,100.0,CZ-wet,,
373,2020,2,100.0,100.0,100.0,CZ-wet,,
374,2020,3,100.0,100.0,100.0,CZ-wet,,
375,2020,4,100.0,100.0,100.0,CZ-wet,,
376,2020,5,100.0,100.0,100.0,CZ-wet,,
377,2020,6,100.0,100.0,100.0,CZ-wet,,
378,2020,7,100.0,100.0,100.0,CZ-wet,,
379,2020,8,100.0,100.0,100.0,CZ-wet,,
380,2020,9,100.0,100.0,100.0,CZ-wet,,
381,2020,10,100.0,100.0,100.0,CZ-wet,,
382,2020,11,100.0,100.0,100.0,CZ-wet,,
383,2020,12,100.0,100.0,100.0,CZ-wet,,
384,2020,1,100.0,100.0,100.0,DE-Akm,,
385,2020,2,100.0,100.0,100.0,DE-Akm,,
386,2020,3,100.0,100.0,100.0,DE-Akm,,
387,2020,4,100.0,100.0,100.0,DE-Akm,,
388,2020,5,100.0,100.0,100.0,DE-Akm,,
389,2020,6,100.0,100.0,100.0,DE-Akm,,
390,2020,7,100.0,100.0,100.0,DE-Akm,,
391,2020,8,100.0,100.0,100.0,DE-Akm,,
392,2020,9,100.0,100.0,100.0,DE-Akm,,
393,2020,10,100.0,100.0,100.0,DE-Akm,,
394,2020,11,100.0,100.0,100.0,DE-Akm,,
395,2020,12,100.0,100.0,100.0,DE-Akm,,
