,skin_temperature,soil_temperature_level_1,soil_temperature_level_2,soil_temperature_level_3,soil_temperature_level_4,volumetric_soil_water_layer_1,volumetric_soil_water_layer_2,volumetric_soil_water_layer_3,volumetric_soil_water_layer_4,latitude,longitude,image_date
FI-Var,268.7089080810547,272.2885437011719,272.6766815185547,273.7452697753906,275.4663543701172,0.402862548828125,0.4067535400390625,0.415313720703125,0.458343505859375,67.7549,29.61,2016-01-01
FR-Bil,282.1713256835937,282.5518951416016,282.84568786621094,283.2867126464844,285.6234893798828,0.26959228515625,0.2741851806640625,0.270172119140625,0.238128662109375,44.493652,-0.956092,2014-01-01
FR-FBn,273.3362274169922,276.1950225830078,279.9859313964844,282.8002014160156,288.3146514892578,0.2925567626953125,0.2931060791015625,0.2238311767578125,0.2316741943359375,43.24079,5.67865,2008-01-01
DE-RuW,280.3726806640625,278.64039611816406,277.18687438964844,277.6939239501953,280.99560546875,0.430084228515625,0.4268798828125,0.41204833984375,0.380950927734375,50.50493,6.3309627,2012-01-01
DE-Tha,256.7315979003906,272.7208709716797,272.7089385986328,274.2433624267578,279.28125,0.3995361328125,0.4076385498046875,0.386016845703125,0.4088134765625,50.96256,13.56515,2003-01-01
DE-Obe,271.6506805419922,271.9469757080078,272.0347595214844,274.0111389160156,279.0353546142578,0.3608551025390625,0.36029052734375,0.3831329345703125,0.368194580078125,50.78666,13.72129,2008-01-01
IL-Yat,278.0577697753906,280.9376678466797,284.6171417236328,288.3117218017578,296.005859375,0.324859619140625,0.30218505859375,0.21142578125,0.195037841796875,31.34504,35.05198,2003-01-01
IT-Ren,261.6827697753906,272.8146209716797,273.0390167236328,274.0832061767578,276.6328125,0.2649383544921875,0.258087158203125,0.210540771484375,0.293609619140625,46.58686,11.43369,2003-01-01
IT-SR2,274.4113311767578,276.6183319091797,280.01109313964844,283.47703552246094,288.0271911621094,0.3819580078125,0.3878021240234375,0.3976287841796875,0.3840484619140625,43.73202,10.29091,2013-01-01
IT-Lav,268.0577697753906,272.7911834716797,273.0741729736328,274.5148468017578,278.732421875,0.3478546142578125,0.3447418212890625,0.2866363525390625,0.362518310546875,45.9562,11.28132,2003-01-01
RU-Fy2,273.28858947753906,271.7103576660156,272.0738220214844,273.5222930908203,277.5435485839844,0.3581695556640625,0.358856201171875,0.3453521728515625,0.331939697265625,56.447603,32.901878,2015-01-01
RU-Fyo,248.04995727539065,269.8517303466797,270.5331573486328,272.4933624267578,276.845703125,0.3648834228515625,0.3425445556640625,0.3535003662109375,0.34100341796875,56.4615,32.9221,2003-01-01
